Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,8799.0,49.05,76.52,11.57,3690.0,13.37,5.286,0.14,0.0,0.399,2.586,4.11
IOA,7427.281744650945,50.15110954405957,506.9729000000001,0.3806,280.7650513552724,91.06955056277631,0.02818412868679673,0.0326,0.2203413905651632,0.01,0.0292,0.0053
IOA,12230.0,50.47,4.298,9.478,286.1,27.98,0.113,0.152,0.0,0.012,1.252,0.44
IOA,11140.0,50.76,3.123,17.8,72.44,22.09,0.024,0.127,0.0,0.093,0.689,0.143
IOA,12340.0,50.92,5.3,2.584,23.61,134.3,0.0,0.032,0.0,7.963,0.015,0.193
IOA,10378.064509503205,51.83,40.41,4.197,385.6,93.27,0.029,0.083,0.0,16.36,0.09,0.97
IOA,9206.157142857142,53.78,5.452,2.098,145.1,112.1,0.0,0.0,0.0,25.86,0.026,0.166
IOA,13665.714285714286,71.54,4.122,3.536,96.4,94.93,0.034,0.0,0.0,22.73,0.045,0.101
IOA,28.52,71.57,2280.0,39.33,2.45,10.82,7.15,87.7,0.0,3.724,179.9,0.341
IOA,1100.0,72.0,3802.52,66.0,6.4,50.33467608769595,0.57,0.063,0.2439,0.12,8.3,1.2
IOA,14647.79211699662,72.46056240770001,88.55557142857143,0.4379,396.7894612843264,35.71014285910613,0.03545,0.0388,0.16705,0.012,0.03595,0.01
IOA,15080.0,74.43,280.6,34.05,6475.0,29.77,30.12,0.525,0.0,22.82,26.95,20.34
IOA,10716.728571428572,74.59,4.064,3.162,174.4,98.98,0.0,0.024,0.0,587.2,0.023,0.014
IOA,7699.825175209888,77.63493829398377,90.88900000000001,1.141703652518798,290.1667867364446,93.08923723865705,0.0850061718100761,0.0584,0.34645,0.02455,0.7964653521311184,0.02846293205510465
IOA,850.0,78.0,1166.89,4.4,3.6,28.19855868864732,0.061,0.036,0.1259,0.043,1.8,0.67
IOA,407.9,79.16,75.82,17.97,69.79,52.83,1.769,65.04,0.0,5.341,112.7,5.597
IOA,10400.442857142858,80.23,3.788,8.426,138.2,58.44,0.124,0.285,0.0,0.036,7.939,4.364
IOA,13461.2104024751,80.69921361904305,15.292714285714286,52.87209940085223,460.5678835498951,49.86674429774647,21.35349536385243,1.538120701955837,0.40855,0.02425,45.16892573281186,2.359944898250062
IOA,11282.857142857143,86.45,10.8,4.08,77.37,181.6,0.0,0.111,0.0,3.71,0.026,0.008
IOA,218.9,86.97,26.03,5.882,218.8,54.74,0.319,15.05,0.0,10.96,27.09,4.282
IOA,13513.07752970752,88.72811965203537,15.292714285714284,0.3515,455.0314640919862,43.3452986544774,0.0123,0.02265,0.13415,0.01605280839608557,0.0179,0.01
IOA,12174.55850551874,88.9014153152161,12.06957142857143,0.8239545312875161,424.4627689341034,23.52731345104647,0.03195692498874716,1.296115338641725,0.7912320881520148,0.04833012420995692,17.28610105586989,1.382657326917405
IOA,7673.142857142857,54.41,4.947,3.808,160.2,125.0,0.137,0.0,0.0,4.119,0.015,0.028
IOA,9041.57142857143,55.61,2.473,2.448,47.98,82.19,0.034,0.032,0.0,7.622,0.0,0.009
IOA,1000.0,56.0,30.22,3.0,270.25428571428574,77.70189652645074,0.15,0.079,1.322319225578545,0.4,14.0,0.04
IOA,7785.471428571428,56.52,2.827,4.488,128.9,50.94,0.0,0.032,0.0,8.581,0.0,0.0
IOA,12700.0,57.14,8.156,8.276,98.86,36.08,4.815,0.03,0.0,12.01,93.78,6.565
IOA,8219.199264899315,57.82427604955264,90.88900000000001,0.4115,283.9601633662941,80.71963090982734,0.0118,0.0336,0.229645709496415,0.006183866338189244,0.0172,0.0088
IOA,2518.0,58.13,6.321,4.051,924.7,31.2,1.535,0.218,0.0,3.055,0.401,8.464
IOA,760.0,59.0,340.35,14.0,1.0,21.10259928623442,0.037,0.07728571428571429,1.506672369650087,0.14,1.6,0.38
IOA,15200.0,59.28,3.857,17.35,213.2,25.77,0.0,0.114,0.0,0.094,0.635,0.069
