,Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
150,IOCG,17000,4.9,1.98,2.3,680,91.06955056277631,0.009,3.486058201,0.1732,0.03,0.2,0.05
151,IOCG,159.3,5.894,6.36,2.42,93.72,18.23,2.405,1.284,0,1.473,94.97,2.921
152,IOCG,15000,7.2,280.54,5.3,26,48.62,0.2,0.12,0.0931,0.018,58,4.2
153,IOCG,2078,7.662,23.87,5.787,571.9,9.319,1.089,0.07,0,16.53,0.569,0.649
154,IOCG,1.285,10.09,5.766,3.704,0.165,10.18,0.123,4.071,0,31.56,4.698,0.384
155,IOCG,572.2,10.54,7.42,2.946,71.64,34.51,2.355,0.109,0,0.611,10.87,5.781
156,IOCG,579.4,10.74,8.245,4.879,47.31,39.71,0,0.02,0,14.64,0.113,0.25
157,IOCG,472.9,12.46,2.473,3.038,51.86,32.26,0.06,0.02,0,2.346,0.15,0.017
158,IOCG,11000,15,17.36,2.1,1200,162.1,0.028,3.486058201,0.2547,0.49,0.22,0.069
159,IOCG,13340,17.05,10.22,5.303,4359,19.85,7.369,0.392,0,16.67,5.124,15.42
160,IOCG,5790,17.39,25.13,3.998,1171,8.508,6.375,0.21,0,41.17,2.586,3.123
161,IOCG,13000,18,752.89,2.7,46,82.19,0.067,0.079,0.4560601281342226,0.093,0.43,1.4
162,IOCG,19618,19,6.397,0.794,326.2799,9,0.2477,0.2496,0.1694,63.73666484533067,1.5017,0.0631
163,IOCG,5677.977907296594,38.19,3.887,2.856,56.57,108.8,0,0.032,0,5.74,0,0.23
164,IOCG,10340,38.91,9.552,6.563,141,23.31,3.965,0.253,0,0.018,589.8,22.81
165,IOCG,5677.977907296594,39.09,5.088,2.448,136.5,122.2,0.041,0,0,51.61,0,0.011
166,IOCG,10950,39.15,3.995,12.01,109.5,25.77,0.389,0.304,0,0.132,0.679,0.739
167,IOCG,5677.977907296594,40,3.433,3.497,517.7,103.2,0,0,0,14.87,0,0.039
168,IOCG,5677.977907296594,41.17,539.7,4.08,178.6,122.1,0.059,0,0,13.77,0.026,0.229
169,IOCG,1356,42.92,4.617,8.985,508.5,31.77,0.318,0.131,0,3.555,1.728,4.981
170,IOCG,6500,43,96.06,3.9,1200,17.37469190325265,0.19,1.3,0.1907,0.33,15,12
171,IOCG,5677.977907296594,43.41,4572,114.4,521.2,38.43,32.88,1.357,0,1.195,1940,40.41
172,IOCG,5677.977907296594,45.91,26.86,4.488,218.6,173.7,0.069,0,0,69.56,0.09,0.92
173,IOCG,8799,49.05,76.52,11.57,3690,13.37,5.286,0.14,0,0.399,2.586,4.11
174,IOCG,7427.281744650945,50.15110954405957,302.9125282157676,0.3806,280.7650513552724,91.06955056277631,0.028184129,0.0326,0.2203413905651632,0.01,0.0292,0.0053
175,IOCG,12230,50.47,4.298,9.478,286.1,27.98,0.113,0.152,0,0.012,1.252,0.44
176,IOCG,11140,50.76,3.123,17.8,72.44,22.09,0.024,0.127,0,0.093,0.689,0.143
177,IOCG,5677.977907296594,50.92,5.3,2.584,23.61,134.3,0,0.032,0,7.963,0.015,0.193
178,IOCG,5677.977907296594,51.83,40.41,4.197,385.6,93.27,0.029,0.083,0,16.36,0.09,0.97
179,IOCG,5677.977907296594,53.78,5.452,2.098,145.1,112.1,0,0,0,25.86,0.026,0.166
180,IOCG,5677.977907296594,71.54,4.122,3.536,96.4,94.93,0.034,0,0,22.73,0.045,0.101
181,IOCG,28.52,71.57,2280,39.33,2.45,10.82,7.15,87.7,0,3.724,179.9,0.341
182,IOCG,1100,72,3802.52,66,6.4,50.33467608769595,0.57,0.063,0.2439,0.12,8.3,1.2
183,IOCG,14647.79211699662,72.46056240770001,302.9125282157676,0.4379,396.7894612843264,35.71014285910613,0.03545,0.0388,0.16705,0.012,0.03595,0.01
184,IOCG,15080,74.43,280.6,34.05,6475,29.77,30.12,0.525,0,22.82,26.95,20.34
185,IOCG,5677.977907296594,74.59,4.064,3.162,174.4,98.98,0,0.024,0,587.2,0.023,0.014
186,IOCG,7699.825175209888,77.63493829398377,302.9125282157676,1.141703652518798,290.1667867364446,93.08923723865705,0.085006172,0.0584,0.34645,0.02455,0.7964653521311184,0.028462932
187,IOCG,850,78,1166.89,4.4,3.6,28.19855868864732,0.061,0.036,0.1259,0.043,1.8,0.67
188,IOCG,407.9,79.16,75.82,17.97,69.79,52.83,1.769,65.04,0,5.341,112.7,5.597
189,IOCG,5677.977907296594,80.23,3.788,8.426,138.2,58.44,0.124,0.285,0,0.036,7.939,4.364
190,IOCG,13461.2104,80.69921361904305,302.9125282157676,52.87209940085223,460.5678835498951,49.86674429774647,21.35349536385243,1.538120701955837,0.40855,0.02425,45.16892573281186,2.359944898250062
191,IOCG,5677.977907296594,86.45,10.8,4.08,77.37,181.6,0,0.111,0,3.71,0.026,0.008
192,IOCG,218.9,86.97,26.03,5.882,218.8,54.74,0.319,15.05,0,10.96,27.09,4.282
193,IOCG,13513.07752970752,88.72811965203537,302.9125282157676,0.3515,455.0314640919862,43.34529865,0.0123,0.02265,0.13415,0.016052808,0.0179,0.01
194,IOCG,12174.55850551874,88.90141532,302.9125282157676,0.8239545312875161,424.4627689341034,23.52731345104647,0.031956925,1.296115338641725,0.7912320881520148,0.048330124,17.28610105586989,1.382657326917405
195,IOCG,5677.977907296594,54.41,4.947,3.808,160.2,125,0.137,0,0,4.119,0.015,0.028
196,IOCG,5677.977907296594,55.61,2.473,2.448,47.98,82.19,0.034,0.032,0,7.622,0,0.009
197,IOCG,1000,56,30.22,3,915.3515243455088,77.70189652645074,0.15,0.079,1.322319225578545,0.4,14,0.04
198,IOCG,5677.977907296594,56.52,2.827,4.488,128.9,50.94,0,0.032,0,8.581,0,0
199,IOCG,12700,57.14,8.156,8.276,98.86,36.08,4.815,0.03,0,12.01,93.78,6.565
200,IOCG,8219.199264899315,57.82427604955264,302.9125282157676,0.4115,283.9601633662941,80.71963090982734,0.0118,0.0336,0.229645709,0.006183866,0.0172,0.0088
201,IOCG,2518,58.13,6.321,4.051,924.7,31.2,1.535,0.218,0,3.055,0.401,8.464
202,IOCG,760,59,340.35,14,1,21.10259928623442,0.037,3.486058201,1.506672369650087,0.14,1.6,0.38
203,IOCG,15200,59.28,3.857,17.35,213.2,25.77,0,0.114,0,0.094,0.635,0.069
204,IOCG,5677.977907296594,59.94,757.4,5.973,299.5,35.64,27.13,0.283,0,36.82,1757,25.25
205,IOCG,18930,60.37,3.169,4.505,240.4,34.97,0.035,0.038,0,0.06,0.797,0.593
206,IOCG,18300,60.66,12.62,6.412,815.7,68.47,6.262,0.083,0,87.83,0.592,0.489
207,IOCG,5677.977907296594,61.38,3.534,2.992,213.8,162.1,0,0.161,0,9.896,0.015,0
208,IOCG,1104,65.21,3.366,2.301,46.72,34.74,0,0,0,8.016,0.066,0.051
209,IOCG,14040,65.58,112,6.628,263.8,45.38,0.291,0.082,0,2.102,440.4,0.568
210,IOCG,15000,68.17,3.196,5.606,77.08,31.66,0.028,0.03,0,0.086,2.162,0.522
211,IOCG,18050,68.85,34.64,2.215,543.6,51.6,17.15,0,0,8.938,0.296,2.437
212,IOCG,2141,68.93,2239,12.82,489.3,40.28,7.273,0.294,0,35,37.99,8.02
213,IOCG,11020,69.26,282.4,2.856,1423,30.1,1.235,0.032,0,1.767,4.96,4.132
214,IOCG,14823.47169296807,70.88243885617912,302.9125282157676,0.637903535,352.8097162883604,35.54644674134125,0.0113,0.03585,0.1227,0.006866831,0.0194,0.049758799
215,IOCG,10620,91.33,3.533,3.73,1814,38.7,0.088,0.028,0,11.07,1.005,0.726
216,IOCG,5677.977907296594,92.46,15.32,3.4,371.7,48.62,0,0,0,1.556,0.015,0.405
217,IOCG,5677.977907296594,92.98,749.6,15.49,107.5,61.11,0.113,0.334,0,0.138,0.508,1.683
218,IOCG,233.1,93.39,8.649,5.909,177.8,54.02,0.086,14.55,0,18.65,28.3,3.411
219,IOCG,5677.977907296594,93.66,2.652,3.355,520,47.23,0,0.034,0,17.76,0.074,0.364
220,IOCG,14420,94.83,6.199,29.71,255.1,21.17,0.071,0.152,0,0.042,1.609,2.01
221,IOCG,7574,95.37,17.73,4.143,3136,33.33,12.15,0.552,0,197.6,57.89,11.69
222,IOCG,14060,103.2,1594,28.8,7447,65.49,232.5,1.049,0,1.32,9.87,21.78
223,IOCG,11800.62925,104.4560271794103,302.9125282157676,0.6400718186070383,351.8238568201435,31.87154707818548,0.014078728,0.02925,0.5918931743852308,0.0107,0.02545,0.047378521
224,IOCG,11400,108.4,2314,12.59,2015,46.64,19.06,0.856,0,0.389,65.6,36.38
225,IOCG,7471,113,2918.0393,6.14,217.7443,20,5.8093,4.7316,5.0962,63.73666484533067,15.1883,8.4593
226,IOCG,5677.977907296594,113.7,22.05,8.143,76.3,61.11,4.447,0.425,0,0.053,71.05,13.63
227,IOCG,19280,123.8,2.827,4.08,113.2,63.67,0,0.064,0,2.74,0.015,0.313
228,IOCG,19910,124.6,12.12,38.45,67.87,59.64,6.826,0.122,0,0.093,68.14,5.829
229,IOCG,5677.977907296594,135.9,6.058,1.982,966.8,69.46,0.382,0,0,2.501,0.155,0.363
230,IOCG,12181.04596652499,138.2706486389993,302.9125282157676,0.28765,254.1618009608765,25.83119999160914,0.015,0.03745,0.0938,0.0112,0.0288,0.01
231,IOCG,547.5,141.9,37.57,6.971,38.51,17.18,2.653,68.56,0,7.412,186.1,3.415
232,IOCG,110.8,320.1,15.65,6.754,60.66,77.65,0.368,46.47,0,12.66,83.87,19.29
233,IOCG,2985,532.5,29,3.038,263.3,6.381,0.337,0.204,0,2.571,11.75,10.28
234,IOCG,5416.642636224588,534.8554469918638,302.9125282157676,0.37545,518.0868092,17.81742472571552,0.0117,0.0258,0.1259,0.01075,0.033,0.00545
235,IOCG,1900,550,92.74,110,2.3,37.20664278760204,1.7,0.097,0.1207,0.46,20,0.47
236,IOCG,528.7,576,3.196,6.941,200.9,28.71,0.057,0.304,0,0.256,0.366,2.906
237,IOCG,7787.625705812241,581.6429540275437,302.9125282157676,0.32795,1188.810093251976,28.19855868864732,0.008218302,0.01855,2.973737205826033,0.01015,0.042550876,0.005466785
238,IOCG,315.6,613.8,26.33,7.498,88.63,63.86,0.946,42.33,0,12.6,78.46,22.13
239,IOCG,9100,650,16.81,5.9,4.2,35.54644674134125,0.22,0.051,0.21675,0.11,4.2,3
240,IOCG,4698.681567346095,656.4428803,302.9125282157676,0.600961666,124.5862399671258,21.88557433942117,0.01065,0.0188,0.0931,0.015609309,0.02745,0.0074
241,IOCG,1200,660,2.16,1.3,1.8,17.81742472571552,0.67,0.014,0.22135,0.15,12,0.64
242,IOCG,998,662,0.122,0.9304,88.6597,7,0.04295,0.04055,0.1002,63.73666484533067,0.02295,0.0052
243,IOCG,18210,665.8,88.36,6.039,2462,80.57,0,0.039,0,12.11,0.09,2.495
244,IOCG,9110,681.3,75.89,24.49,813.2,10.64,9.013,0.409,0,4.982,429,13.86
245,IOCG,18960,706.2,616.4,8.705,8478,50.93,4.665,0.097,0,0.632,4.298,6.886
246,IOCG,3671,717.3,24.65,9.697,414.6,31.67,0.873,0.027,0,0.942,3.581,1.514
247,IOCG,6200,730,3.19,2.4,18,31.87154707818548,2.1,0.23,0.2439,0.021,19,0.4
248,IOCG,5200,1000,0.42,1.7,2.1,26.54081372808703,1.8,0.93,0.12565,0.019,180,21
