Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOCG,28.52,71.57,2280,39.33,2.45,10.82,7.15,87.7,0,3.724,179.9,0.341
IOCG,1100,72,3802.52,66,6.4,50.33467609,0.57,0.063,0.2439,0.12,8.3,1.2
IOCG,14647.79212,72.46056241,,0.4379,396.7894613,35.71014286,0.03545,0.0388,0.16705,0.012,0.03595,0.01
IOCG,15080,74.43,280.6,34.05,6475,29.77,30.12,0.525,0,22.82,26.95,20.34
IOCG,,74.59,4.064,3.162,174.4,98.98,0,0.024,0,587.2,0.023,0.014
IOCG,7699.825175,77.63493829,,1.141703653,290.1667867,93.08923724,0.085006172,0.0584,0.34645,0.02455,0.796465352,0.028462932
IOCG,850,78,1166.89,4.4,3.6,28.19855869,0.061,0.036,0.1259,0.043,1.8,0.67
IOCG,407.9,79.16,75.82,17.97,69.79,52.83,1.769,65.04,0,5.341,112.7,5.597
IOCG,,80.23,3.788,8.426,138.2,58.44,0.124,0.285,0,0.036,7.939,4.364
IOCG,13461.2104,80.69921362,,52.8720994,460.5678835,49.8667443,21.35349536,1.538120702,0.40855,0.02425,45.16892573,2.359944898
IOCG,,86.45,10.8,4.08,77.37,181.6,0,0.111,0,3.71,0.026,0.008
IOCG,218.9,86.97,26.03,5.882,218.8,54.74,0.319,15.05,0,10.96,27.09,4.282
IOCG,13513.07753,88.72811965,,0.3515,455.0314641,43.34529865,0.0123,0.02265,0.13415,0.016052808,0.0179,0.01
IOCG,12174.55851,88.90141532,,0.823954531,424.4627689,23.52731345,0.031956925,1.296115339,0.791232088,0.048330124,17.28610106,1.382657327
IOCG,,54.41,4.947,3.808,160.2,125,0.137,0,0,4.119,0.015,0.028
IOCG,,55.61,2.473,2.448,47.98,82.19,0.034,0.032,0,7.622,0,0.009
IOCG,1000,56,30.22,3,bdl,77.70189653,0.15,0.079,1.322319226,0.4,14,0.04
IOCG,,56.52,2.827,4.488,128.9,50.94,0,0.032,0,8.581,0,0
IOCG,12700,57.14,8.156,8.276,98.86,36.08,4.815,0.03,0,12.01,93.78,6.565
IOCG,8219.199265,57.82427605,,0.4115,283.9601634,80.71963091,0.0118,0.0336,0.229645709,0.006183866,0.0172,0.0088
IOCG,2518,58.13,6.321,4.051,924.7,31.2,1.535,0.218,0,3.055,0.401,8.464
IOCG,760,59,340.35,14,1,21.10259929,0.037,bdl,1.50667237,0.14,1.6,0.38
IOCG,15200,59.28,3.857,17.35,213.2,25.77,0,0.114,0,0.094,0.635,0.069
IOCG,,59.94,757.4,5.973,299.5,35.64,27.13,0.283,0,36.82,1757,25.25
IOCG,18930,60.37,3.169,4.505,240.4,34.97,0.035,0.038,0,0.06,0.797,0.593
IOCG,18300,60.66,12.62,6.412,815.7,68.47,6.262,0.083,0,87.83,0.592,0.489
IOCG,,61.38,3.534,2.992,213.8,162.1,0,0.161,0,9.896,0.015,0
IOCG,1104,65.21,3.366,2.301,46.72,34.74,0,0,0,8.016,0.066,0.051
IOCG,14040,65.58,112,6.628,263.8,45.38,0.291,0.082,0,2.102,440.4,0.568
IOCG,15000,68.17,3.196,5.606,77.08,31.66,0.028,0.03,0,0.086,2.162,0.522
IOCG,18050,68.85,34.64,2.215,543.6,51.6,17.15,0,0,8.938,0.296,2.437
IOCG,2141,68.93,2239,12.82,489.3,40.28,7.273,0.294,0,35,37.99,8.02
IOCG,11020,69.26,282.4,2.856,1423,30.1,1.235,0.032,0,1.767,4.96,4.132
IOCG,14823.47169,70.88243886,,0.637903535,352.8097163,35.54644674,0.0113,0.03585,0.1227,0.006866831,0.0194,0.049758799
IOCG,10620,91.33,3.533,3.73,1814,38.7,0.088,0.028,0,11.07,1.005,0.726
IOCG,,92.46,15.32,3.4,371.7,48.62,0,0,0,1.556,0.015,0.405
IOCG,,92.98,749.6,15.49,107.5,61.11,0.113,0.334,0,0.138,0.508,1.683
IOCG,233.1,93.39,8.649,5.909,177.8,54.02,0.086,14.55,0,18.65,28.3,3.411
IOCG,,93.66,2.652,3.355,520,47.23,0,0.034,0,17.76,0.074,0.364
IOCG,14420,94.83,6.199,29.71,255.1,21.17,0.071,0.152,0,0.042,1.609,2.01
IOCG,7574,95.37,17.73,4.143,3136,33.33,12.15,0.552,0,197.6,57.89,11.69
IOCG,14060,103.2,1594,28.8,7447,65.49,232.5,1.049,0,1.32,9.87,21.78
IOCG,11800.62925,104.4560272,,0.640071819,351.8238568,31.87154708,0.014078728,0.02925,0.591893174,0.0107,0.02545,0.047378521
IOCG,11400,108.4,2314,12.59,2015,46.64,19.06,0.856,0,0.389,65.6,36.38
IOCG,7471,113,2918.0393,6.14,217.7443,20,5.8093,4.7316,5.0962,,15.1883,8.4593
IOCG,,113.7,22.05,8.143,76.3,61.11,4.447,0.425,0,0.053,71.05,13.63
IOCG,19280,123.8,2.827,4.08,113.2,63.67,0,0.064,0,2.74,0.015,0.313
IOCG,19910,124.6,12.12,38.45,67.87,59.64,6.826,0.122,0,0.093,68.14,5.829
IOCG,,135.9,6.058,1.982,966.8,69.46,0.382,0,0,2.501,0.155,0.363
IOCG,12181.04597,138.2706486,,0.28765,254.161801,25.83119999,0.015,0.03745,0.0938,0.0112,0.0288,0.01
IOCG,547.5,141.9,37.57,6.971,38.51,17.18,2.653,68.56,0,7.412,186.1,3.415
IOCG,110.8,320.1,15.65,6.754,60.66,77.65,0.368,46.47,0,12.66,83.87,19.29
IOCG,2985,532.5,29,3.038,263.3,6.381,0.337,0.204,0,2.571,11.75,10.28
IOCG,5416.642636,534.855447,,0.37545,518.0868092,17.81742473,0.0117,0.0258,0.1259,0.01075,0.033,0.00545
IOCG,1900,550,92.74,110,2.3,37.20664279,1.7,0.097,0.1207,0.46,20,0.47
IOCG,528.7,576,3.196,6.941,200.9,28.71,0.057,0.304,0,0.256,0.366,2.906
IOCG,7787.625706,581.642954,,0.32795,1188.810093,28.19855869,0.008218302,0.01855,2.973737206,0.01015,0.042550876,0.005466785
IOCG,315.6,613.8,26.33,7.498,88.63,63.86,0.946,42.33,0,12.6,78.46,22.13
IOCG,9100,650,16.81,5.9,4.2,35.54644674,0.22,0.051,0.21675,0.11,4.2,3
IOCG,4698.681567,656.4428803,,0.600961666,124.58624,21.88557434,0.01065,0.0188,0.0931,0.015609309,0.02745,0.0074
IOCG,1200,660,2.16,1.3,1.8,17.81742473,0.67,0.014,0.22135,0.15,12,0.64
IOCG,998,662,0.122,0.9304,88.6597,7,0.04295,0.04055,0.1002,,0.02295,0.0052
IOCG,18210,665.8,88.36,6.039,2462,80.57,0,0.039,0,12.11,0.09,2.495
IOCG,9110,681.3,75.89,24.49,813.2,10.64,9.013,0.409,0,4.982,429,13.86
IOCG,18960,706.2,616.4,8.705,8478,50.93,4.665,0.097,0,0.632,4.298,6.886
IOCG,3671,717.3,24.65,9.697,414.6,31.67,0.873,0.027,0,0.942,3.581,1.514
IOCG,6200,730,3.19,2.4,18,31.87154708,2.1,0.23,0.2439,0.021,19,0.4
IOCG,5200,1000,0.42,1.7,2.1,26.54081373,1.8,0.93,0.12565,0.019,180,21
IOCG,3347.639456,1001.280115,,0.35335,102.1673726,26.54081373,0.019365212,0.0303,0.1732,0.02745,0.02295,0.00577049
IOCG,2827.302726,1009.516531,,0.30265,91.56459829,22.16535346,0.009019244,0.0364,0.1907,0.006334546,0.02665,0.030316734
IOCG,652.1,1078,275.2,28,217.3,33.73,29.6,0.848,0,3.868,232.9,25.59
IOCG,3100,1100,6.31,3.9,bdl,51.13208203,0.09,0.05,1.50667237,0.05,8.6,0.21
IOCG,2500,1100,19.09,1.8,bdl,52.29602892,0.69,0.025,1.800843457,0.084,12,0.72
IOCG,4214,1124,8.127,5.168,4583,82.19,0,0,0,12.26,0.421,0.304
IOCG,5200,760,2.76,11,3.2,25.83119999,0.26,0.07,0.1259,0.018,240,0.36
IOCG,4085.482662,768.2936474,,0.4302,120.9868268,22.07657356,0.01985,0.02255,0.12565,0.01095,0.02225,0.0082
IOCG,2500,770,3.46,3.4,bdl,70.13821371,0.027,bdl,7.795798829,0.03,2.8,0.2
IOCG,428.5,330.5,59.12,10.87,161.2,70.17,1.161,46.01,0,33.21,83.55,13.2
IOCG,1173,334,0.17435,0.9316,48.225,8,0.0224,0.0416,0.23085,,0.02175,0.00505
IOCG,7722.608823,339.9445264,,11.30234852,566.6906659,94.36960721,0.360730277,4.922243379,0.716929118,0.032203158,28.28979667,0.394694914
IOCG,112.3,351.1,22.08,9.15,128.3,65.56,0.688,43.8,0,3.348,80.37,13.21
IOCG,5900,370,5.75,7.2,2.5,48.43813728,0.07,0.023,0.09705,0.033,14,0.92
IOCG,203.8,379.4,62.73,6.291,220.1,101.4,0.494,45.48,0,14.79,79.18,7.242
IOCG,,383.2,2917,3.366,9787,52.96,2.084,0.024,0,4.927,42.89,2.125
IOCG,13520,394.3,2.827,2.584,1177,32.41,0,0.064,0,3.68,0,0.009
IOCG,7680,428.9,402.1,48.16,2353,60.2,0.857,0.29,0,4.102,14.86,3.561
